20,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2011,Muse,single,main,1,1,1,T,T,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,elbow,single,main,2,2,1,F,T,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Interpol,single,main,3,3,1,F,T,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Friendly Fires,single,main,4,4,1,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Enter Shikari,single,main,5,5,1,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,The View,single,main,6,6,1,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Frank Turner,single,main,7,7,1,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Taking Back Sunday,single,main,8,8,1,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,We Are The Ocean,single,main,9,9,1,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,2manydjs,single,NME/BBC Radio 1 Stage,10,1,2,T,T,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,The Streets,single,NME/BBC Radio 1 Stage,11,2,2,F,T,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Death From Above 1979,single,NME/BBC Radio 1 Stage,12,3,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Panic! At The Disco,single,NME/BBC Radio 1 Stage,13,4,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Warpaint,shared,NME/BBC Radio 1 Stage,14,5,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Chapel Club,shared,NME/BBC Radio 1 Stage,14,5,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Cage the Elephant,single,NME/BBC Radio 1 Stage,15,6,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Best Coast,shared,NME/BBC Radio 1 Stage,16,7,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Fucked Up,shared,NME/BBC Radio 1 Stage,16,7,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Dananananaykroyd,single,NME/BBC Radio 1 Stage,17,8,2,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Descendents,shared,Lock Up Stage,18,1,3,T,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Flogging Molly,shared,Lock Up Stage,18,1,3,T,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Face To Face,shared,Lock Up Stage,19,2,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Hot Water Music,shared,Lock Up Stage,19,2,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Bedouin Soundclash,shared,Lock Up Stage,19,2,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Off!,shared,Lock Up Stage,20,3,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,The Black Pacific,shared,Lock Up Stage,20,3,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,The Menzingers,shared,Lock Up Stage,20,3,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Your Demise,shared,Lock Up Stage,21,4,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Spy Catcher,shared,Lock Up Stage,21,4,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Fighting Friction,shared,Lock Up Stage,21,4,3,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Peter Doherty,single,Festival Republic Stage,22,1,4,T,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Viva Brother,single,Festival Republic Stage,23,2,4,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,Ed Sheeran,single,Festival Republic Stage,24,3,4,F,F,black,sunday/28,friday/26,yellow,split,F,T,5,167
,2011,My Chemical Romance,single,main,1,1,1,T,T,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Thirty Seconds to Mars,single,main,2,2,1,F,T,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,The Offspring,single,main,3,3,1,F,T,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Deftones,single,main,4,4,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Rise Against,single,main,5,5,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Bring Me The Horizon,single,main,6,6,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,New Found Glory,single,main,7,7,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,The Blackout,single,main,8,8,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Architects,single,main,9,9,1,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Beady Eye,single,NME/BBC Radio 1 Stage,10,1,2,T,T,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,White Lies,single,NME/BBC Radio 1 Stage,11,2,2,F,T,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Noah and the Whale,shared,NME/BBC Radio 1 Stage,12,3,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,The Vaccines,shared,NME/BBC Radio 1 Stage,12,3,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Metronomy,shared,NME/BBC Radio 1 Stage,13,4,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Patrick Wolf,shared,NME/BBC Radio 1 Stage,13,4,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,The Naked and Famous,single,NME/BBC Radio 1 Stage,14,5,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Mona,shared,NME/BBC Radio 1 Stage,15,6,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Miles Kane,shared,NME/BBC Radio 1 Stage,15,5,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Frankie and the Heartstrings,single,NME/BBC Radio 1 Stage,16,6,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
,2011,Pulled Apart By Horses,single,NME/BBC Radio 1 Stage,17,7,2,F,F,black,friday/26,saturday/27,yellow,split,F,T,5,167
