attribute-level,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2014,Queens of the Stone Age,single,main,1,1,1,T,T,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Paramore,single,main,2,2,1,T,T,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Vampire Weekend,single,main,3,3,1,F,T,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Enter Shikari,single,main,4,4,1,F,T,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Jimmy Eat World,single,main,5,5,1,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Deaf Havana,single,main,6,6,1,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Blood Red Shoes,single,main,7,7,1,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Crossfaith,single,main,8,8,1,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Hacktivist,single,main,9,9,1,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,The Courteeners,single,NME/BBC Radio 1 Stage,10,1,2,T,T,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Metronomy,single,NME/BBC Radio 1 Stage,11,2,2,F,T,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Sbtrkt,single,NME/BBC Radio 1 Stage,12,3,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Warpaint,shared,NME/BBC Radio 1 Stage,13,4,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Temples,shared,NME/BBC Radio 1 Stage,13,4,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Twin Atlantic,single,NME/BBC Radio 1 Stage,14,5,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Mallory Knox,shared,NME/BBC Radio 1 Stage,15,6,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Drenge,shared,NME/BBC Radio 1 Stage,15,6,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,La Dispute,shared,NME/BBC Radio 1 Stage,16,7,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Red Fang,shared,NME/BBC Radio 1 Stage,16,7,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Gerard Way,single,NME/BBC Radio 1 Stage,17,8,2,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Netsky Live!,single,BBC Radio 1 Dance Stage,18,1,3,T,T,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Annie Mac,single,BBC Radio 1 Dance Stage,19,2,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Gorgon City,single,BBC Radio 1 Dance Stage,20,3,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Wilkinson,single,BBC Radio 1 Dance Stage,21,4,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Alunageorge,shared,BBC Radio 1 Dance Stage,22,5,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Sigma,shared,BBC Radio 1 Dance Stage,22,5,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Secondcity,shared,BBC Radio 1 Dance Stage,23,6,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Indiana,shared,BBC Radio 1 Dance Stage,23,6,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Rüfüs,shared,BBC Radio 1 Dance Stage,24,7,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Panama,shared,BBC Radio 1 Dance Stage,24,7,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,We Were Evergreen,shared,BBC Radio 1 Dance Stage,25,8,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Nightbox,shared,BBC Radio 1 Dance Stage,25,8,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Duke Dumont,single,BBC Radio 1 Dance Stage,26,9,3,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Jimmy Eat World,single,Lock Up,27,1,4,T,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Brody Dale,single,Lock Up,28,2,4,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Palma Violets,single,Festival Republic Stage,30,1,5,T,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Bipolar Sunshine,single,Festival Republic Stage,31,2,5,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Giggs,single,BBC Radio 1Xtra Stage,33,1,6,T,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,I Am Legion,single,BBC Radio 1Xtra Stage,34,2,6,F,F,black,friday/22,saturday/23,yellow,shared,T,F,6,201
,2014,Arctic Monkeys,single,main,1,1,1,T,T,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Jake Bugg,single,main,2,2,1,F,T,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Imagine Dragons,single,main,3,3,1,F,T,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Foster The People,single,main,4,4,1,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,The Hives,single,main,5,5,1,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Peace,single,main,6,6,1,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Dry The River,single,main,7,7,1,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Pulled Apart By Horses,single,main,8,8,1,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Gnarwolves,single,main,9,9,1,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,NERD,single,NME/BBC Radio 1 Stage,10,1,2,T,T,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Bombay Bicycle Club,single,NME/BBC Radio 1 Stage,11,2,2,F,T,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,,single,NME/BBC Radio 1 Stage,12,3,2,F,T,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Die Antwoord,shared,NME/BBC Radio 1 Stage,13,4,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Don Broco,shared,NME/BBC Radio 1 Stage,13,4,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Cage The Elephant,single,NME/BBC Radio 1 Stage,14,5,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Lower Than Atlantis,single,NME/BBC Radio 1 Stage,15,6,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Royal Blood,shared,NME/BBC Radio 1 Stage,16,7,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Marmozets,shared,NME/BBC Radio 1 Stage,16,7,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Lonely The Brave,single,NME/BBC Radio 1 Stage,17,8,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,DZ Deathrays,single,NME/BBC Radio 1 Stage,18,9,2,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Pendulum,single,BBC Radio 1 Dance Stage,19,1,3,T,T,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
,2014,Andy C,single,BBC Radio 1 Dance Stage,20,2,3,F,F,black,saturday/23,sunday/24,yellow,shared,T,F,6,201
