attribute-level,poster,artist,count,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2019,The 1975,1,single,main,1,1,1,T,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Royal Blood,1,single,main,2,2,1,F,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Wombats,1,single,main,3,3,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,You Me At Six,1,single,main,4,4,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Juice WRLD,1,single,main,5,5,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Charli XCX,1,single,main,6,6,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Twin Atlantic,1,single,main,7,7,1,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dave,1,single,BBC Radio 1 Stage,8,1,2,T,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Fredo,1,single,BBC Radio 1 Stage,9,2,2,F,T,yellow,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Circa Waves,1,single,BBC Radio 1 Stage,10,3,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Pale Waves,1,shared,BBC Radio 1 Stage,11,4,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Joji,1,shared,BBC Radio 1 Stage,11,4,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Hayley Kiyoko,1,shared,BBC Radio 1 Stage,12,5,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Clairo,1,shared,BBC Radio 1 Stage,12,5,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Night Café,1,single,BBC Radio 1 Stage,13,6,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Mini Mansions,1,shared,BBC Radio 1 Stage,14,7,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Sea Girls,1,shared,BBC Radio 1 Stage,14,7,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Bloxx,1,single,BBC Radio 1 Stage,15,8,2,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Camelphat,1,single,BBC Radio 1 Dance Stage,16,1,3,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Fisher,1,single,BBC Radio 1 Dance Stage,17,2,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dillon Francis,1,single,BBC Radio 1 Dance Stage,18,3,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Prospa,1,shared,BBC Radio 1 Dance Stage,19,4,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Distruction Boyz,1,shared,BBC Radio 1 Dance Stage,19,4,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Becky Hill,1,shared,BBC Radio 1 Dance Stage,20,5,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Loud Luxury,1,shared,BBC Radio 1 Dance Stage,20,5,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Brunswick,1,single,BBC Radio 1 Dance Stage,21,6,3,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Bowling For Soup,1,single,The Lockup,22,1,4,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Maine,1,shared,The Lockup,23,2,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,PUP,1,shared,The Lockup,23,2,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Puppy ,1,shared,The Lockup,24,3,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dream State,1,shared,The Lockup,24,3,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Press Club,1,shared,The Lockup,25,4,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Patent Pending,1,shared,The Lockup,25,4,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Cemetary Sun,1,single,The Lockup,26,5,4,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Hobo Johnson And The Lovemakers,1,single,Festival Republic Stage,27,1,5,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,The Chats,1,shared,Festival Republic Stage,28,2,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Ten Tonnes,1,shared,Festival Republic Stage,28,2,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Hockey Dad,1,shared,Festival Republic Stage,29,3,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Black Honey,1,shared,Festival Republic Stage,29,3,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Twisted Wheel,1,shared,Festival Republic Stage,30,4,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Jeremy Zucker,1,shared,Festival Republic Stage,30,4,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Bad Child,1,shared,Festival Republic Stage,31,5,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dreamers,1,shared,Festival Republic Stage,31,5,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,No Rome,1,shared,Festival Republic Stage,32,6,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Ocean Alley,1,shared,Festival Republic Stage,32,6,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Zuzu,1,shared,Festival Republic Stage,32,6,5,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Dappy,1,single,BBC Radio 1Xtra Stage,33,1,6,T,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Headie One,1,shared,BBC Radio 1Xtra Stage,34,2,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Deno Drix,1,shared,BBC Radio 1Xtra Stage,34,2,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Masicka,1,shared,BBC Radio 1Xtra Stage,35,3,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Comethazine,1,shared,BBC Radio 1Xtra Stage,35,3,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Tiffany Calver,1,single,BBC Radio 1Xtra Stage,36,4,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Just Blanco,1,shared,BBC Radio 1Xtra Stage,37,5,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Mtrnica,1,shared,BBC Radio 1Xtra Stage,37,5,6,F,F,white,friday/23,saturday/24,red/yellow,split,T,F,6,151
,2019,Post Malone,1,shared,main,1,1,1,T,T,yellow,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,twenty one pilots,1,shared,main,1,1,1,T,T,yellow,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Blossoms,1,single,main,2,2,1,F,T,yellow,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Anderson .Paak & The Free Nationals,1,single,main,3,3,1,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,AJ Tracey,1,single,main,4,4,1,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,The Hunna,1,single,main,5,5,1,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Against The Current,1,single,main,6,6,1,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Alma,1,shared,main,7,7,1,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Counterfeit,1,shared,main,7,7,1,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Mura Masa,1,single,BBC Radio 1 Stage,8,1,1,T,T,yellow,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Billie Eilish,1,single,BBC Radio 1 Stage,9,2,2,F,F,yellow,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Stefflon Don,1,shared,BBC Radio 1 Stage,10,3,2,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,PVRIS,1,shared,BBC Radio 1 Stage,10,3,2,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Roddy Rich,1,single,BBC Radio 1 Stage,11,4,2,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,King Princess,1,single,BBC Radio 1 Stage,12,5,2,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
,2019,Slowthai,1,single,BBC Radio 1 Stage,13,6,2,F,F,white,saturday/24,sunday/25,red/yellow,split,T,F,6,151
